Person Title,Person Buyer Segment
Devops Engineer,Technology End User
Erode,Junk/Invalid
Software Engineer,Technology End User
Engineer,Technology End User
Inventory Control Clerk,Operations End User
Product Manager,Product End User
Consultant,Other End User
Full Stack Developer,Technology End User
Software Developer,Technology End User
Senior Azure Integration Developer | .NET & C# | APIM | Azure Functions | Service Bus | Logic Apps,Other End User
Senior System Engineer,Technology End User
Mobile App Developer,Technology End User
Software Engineer,Technology End User
Software Engineer,Technology End User
Web Developer,Technology End User
System Engineer,Technology End User
Product Manager,Product End User
Security Architect,Technology End User
Manager,Other End User
Web Engineer,Technology End User
Full Stack Developer,Technology End User
Assistant Product Manager,Product Decision Maker
Excutive,Other End User
"Co-founder, DevOps Engineer",Other Executive
Senior Process Executive,Information End User
Product Manager,Product End User
Relationship manager,HR End User
AI Trainer,Technology End User
Senior Associate,Other End User
Frontend Engineer,Technology End User
Information Technology Infrastructure Engineer,Other End User
Data Engineer,Technology End User
Sde,Technology End User
Reservoir Engineer,Technology End User
Data Scientist,Data End User
Engineer,Technology End User
Software Engineer Frontend,Technology End User
"Senior Director, Network Engineering",Technology Decision Maker
Senior Software Engineer,Technology End User
Forensic Professional,Security End User
Senior Product Manager,Product Decision Maker
TECHNICAL SPECIALIST / Technical Architect,Technology End User
Senior Backend Developer,Technology End User
Business Process Ananyst / SAP Materials Management Consultant,Sales End User
Engineer,Technology End User
Founder,Other Decision Maker
Engineer,Technology End User
Consultant - Analytics Consulting,Data End User
Technology Lead,Technology End User
Senior software Engineer,Technology End User
Project Engineer,Technology End User
Software Engineer,Technology End User
software developer,Technology End User
Siloam,Junk/Invalid
Solution Architect,Technology End User
Junior Software Developer,Technology End User
Senior Manager (Service Benefits),Other Decision Maker
UI/UX Designer,Marketing End User
Associate Product Manager,Product End User
Software Engineer,Technology End User
GIS Executive,Information End User
Credit card Product Manager,Product Decision Maker
Sales And Marketing Intern,Marketing End User
Software tester,Technology End User
Manager- HR & Corporate Strategy,HR End User
Engineer,Technology End User
Software Engineer,Technology End User
Tutor,Other End User
Global Chief Marketing Officer,Marketing Executive
Product Manager,Product Decision Maker
Senior Software Eng,Technology End User
csr,Other End User
Senior Specialist,Other End User
AI engineer,Technology End User
ELE,Junk/Invalid
Graduate Engineer Trainee,Technology End User
"Strategic Initiatives and Communications, CEO’s Office",Marketing Executive
Software Developer,Technology End User
Project Engineer,Technology End User
Frontend Developer,Technology End User
Base Maintenance Safety Controller,Operations End User
Senior Software Engineer,Technology End User
Quality Assurance Analyst,Data End User
Hr,HR End User
Site Engineer,Technology End User
Product Manager - Group Account Services and Liquidity Management,Product Decision Maker
International Business Development Manager (EMIA),Other End User
Officer,Other End User
Senior Cloud Operation Engineer,Technology End User
Data Engineer,Technology End User
Senior Software Engineer,Technology End User
Lead Software Quality Assurance Engineer,Technology End User
Product Manager,Product Decision Maker
Application development analyst,Technology End User
Senior Software Engineer,Technology End User
electrical engineer,Technology End User
Project Manager,Other End User
Junior Cloud Fullstack Engineer,Technology End User
Senior Marketing Manager,Marketing End User
AI Engineer,Technology End User
Software Engineer,Technology End User
Product Manager,Product Decision Maker
Assistant manager,Other End User
Engineer,Technology End User
Senior Software Engineer,Technology End User
Software Engineer II,Technology End User
Trainee/Industrial Trainee,Information End User
Community Manager,Marketing End User
Software Enginneer,Technology End User
ceo,Chief Executive
Software Development Team Lead,Technology End User
EDUCATOR,Industry LOB - Edu End User
Sr. Project Engineer,Technology End User
Data Scientist,Data End User
Manager,Other Decision Maker
Senior Software Developer,Technology End User
Full Stack Software Engineer,Technology End User
Sr Specialist,Other End User
Field Marketing Manager,Marketing End User
Senior Software Engineer,Technology End User
Data Operations Analyst,Data End User
Salesforce Consultant/Lead Developer,Sales End User
Project Associate,Other End User
Junio Software Developer,Technology End User
Ai Engineer,Technology End User
Manager,Other End User
Software Engineer,Technology End User
Retail Media Product Manager,Marketing Decision Maker
Associate Analyst,Technology End User
Blockchain Engineer,Security End User
Senior Software Developer,Technology End User
Digital Product Manager,Product Decision Maker
Manager,Other End User
Machine Learning Engineer,Technology End User
Java Software Engineer,Technology End User
Data analyst Intern,Data End User
Co-founder & CTO,Technology Executive
Facility Engineer,Technology End User
Ml data associate,Data End User
Information Technology Infrastructure Team Lead,Information End User
Properiter,Sales End User
Systems Engineer (Data Engineer),Technology End User
Computer operator,Operations End User
Senior Software Engineer,Technology End User
public relationship assistant,Marketing End User
Product Manager,Product End User
Software Engineer,Technology End User
Product Manager,Product Decision Maker
Lead Technical Specialist / Senior Staff Software Engineer,Other End User
Lead of technical testing team - TCOE,Technology End User
Front End Developer,Technology End User
engineer,Technology End User
Software Engineer,Technology End User
Web developer,Technology End User
Data Analyst,Data End User
Application Developer,Technology End User
seoul gannamgu,Junk/Invalid
Senior Specialist - Package Implementation,Other End User
DevOps Engineer,Technology End User
Sales Officer,Sales Executive
Lead System Analyst / Senior IT Consultant,Data End User
Senior Product Manager,Product Decision Maker
Hardware Manager,Technology End User
SE,Technology End User
Project Engineer,Technology End User
Website Developer,Technology End User
Technical Lead Developer,Technology End User
Analytics Senior Executive,Data Decision Maker
It Analyst,Information End User
Head Of Engineering,Technology Executive
Product Manager,Product Decision Maker
National Engineering Manager,Technology Decision Maker
Software engineer / Web Developer,Technology End User
Developer,Technology End User
Aerospace Engineer,Technology End User
DevOps Engineer,Technology End User
Frontend Developer,Technology End User
Group Product Manager,Product Decision Maker
Technical Lead,Technology End User
Sistem informasi,Junk/Invalid
Marketing Manager,Marketing End User
Software Engineer,Technology End User
ENGINEER,Technology End User
Senior Executive Human Resources,HR Executive
Software Engineer,Technology End User
Intern,Industry LOB - Edu End User
Data Engineer,Technology End User
System Engineer //System Engineer Intern,Other End User
Senior Manager/Relationship Manager,Sales End User
Manager Marketing Analytics,Marketing End User
Product Manager,Product Decision Maker
Product Manager - EL1,Product Decision Maker
Software Engineer Trainee,Technology End User
iOS Developer,Technology End User
Sr ISC Project Management Manager,Product End User
Product Manager,Product Decision Maker
Data Engineer,Technology End User
Product Manager,Product Decision Maker
Principle Software Engineer,Technology End User
Delivery boy,Other End User
Software Engineer,Technology End User
Software Developer,Technology End User
Software Engineer,Technology End User
Security Engineer,Security End User
Manager,Other End User
Senior Manager,Other End User
Product Manager,Product Decision Maker
Full Stack Developer,Technology End User
Senior Business Analyst,Data End User
產品行銷經理,Other Decision Maker
Senior Geo Marketing Manager - Wipro ANZ,Marketing End User
Manager,Other End User
Developer,Technology End User
Site Reliability Engineer,Technology End User
Senior project engineer,Technology End User
Marketing development officer,Marketing Decision Maker
Project coordinator,Other End User
매니저,Other Decision Maker
Data Annotator Specialist,Data End User
Back End Developer,Technology End User
Software developer,Technology End User
Deputy Manager Marketing,Marketing End User
Back End Developer,Technology End User
"Data Engineer, Senior Software Engineer",Data End User
Product Manager,Product Decision Maker
Product Manager,Product Decision Maker
Service desk Team lead,Technology End User
Business,Other End User
Senior Full Stack Developer,Technology End User
Product Owner,Product End User
Middle Penetration Tester / Security Engineer,Security End User
UX Researcher,Product End User
Software Engineer,Technology End User
Site Engineer,Technology End User
Team Lead Customer Technical Support,Technology End User
cyber security,Security End User
State Training Manager,HR End User
Consultant,Other End User
Senior Software Engineer,Technology End User
Software Engineer / Developer,Technology End User
Senior Software Engineer,Technology End User
Frontend Developer,Technology End User
Software Engineer,Technology End User
Assistant Professor In Ai Law,Technology End User
Principal Engineer,Technology End User
Manager Financial Accounting,Finance Decision Maker
Junior Software Developer,Technology End User
Principal Consultant,Other End User
Application Developer,Technology End User
AI Engineer,Technology End User
Senior Technical Consultant & Software Engineer. Founder,Technology End User
Csr,Other End User
Frontend Developer,Technology End User
Assistant Manager,Other End User
Mortgage lending,Other End User
Reviewer,Other End User
Senior Data Scientist,Data End User
SEO Expert,Other End User
Production Support Engineer,Technology End User
ODP IT,Junk/Invalid
Biomedical Engineer,Technology End User
Senior Cloud Engineer,Technology End User
Software Engineer,Technology End User
Senior Data Scientist,Data End User
Appointment,Technology End User
Shift Engineer,Technology End User
Machine Learning Engineer,Technology End User
AI Integration and Automation Specialist,Other End User
Web Developer,Technology End User
Engineer,Technology End User
Senior DevOps Engineer,Technology End User
Software Engineer,Technology End User
Chief Programming Manager,Technology Decision Maker
Senior Software Engineer,Technology End User
Information Technology Project Manager,Information Decision Maker
Senior manager data & ai practice,Data End User
Specialist Engineer,Technology End User
Senior Software Developer,Technology End User
Sr. Manager Product Development,Product End User
Senior Software Engineer,Technology End User
Marketing Team Lead,Marketing End User
Engineer,Technology End User
Pega Decisioning Architect,Technology End User
Research associate analyst,Data End User
Data Scientist / Analytics Consultant,Data End User
Lead Editor,Other End User
Machine Learning Research Engineer,Data End User
Associate software engineer,Technology End User
Process Associate,Other End User
AI and STEM Robotics faculty,Industry LOB - Edu End User
Apac Recruiter,HR End User
Technical Lead,Technology End User
Production development engineer,Operations End User
DEVELOPER,Technology End User
DevOps Engineer,Technology End User
Lab Technologist,Technology End User
Mobile Application Developer,Technology End User
Senior Development Engineer /  Engineering Office Department Head,Other Decision Maker
Senior Product Manager,Product Decision Maker
Senior Software Engineer,Technology End User
Software Engineer,Technology End User
Project Lead,Technology End User
DEVELOPER,Technology End User
Principal Frontend Engineer,Technology End User
Java Web Developer,Technology End User
Software development engineer 2,Technology End User
Full Stack Developer InternFull Stack Developer Trainee,Technology End User
Cloud Engineer,Technology End User
Software Engineer,Technology End User
Consultant,Other End User
SRE / Lead System Engineer,Technology End User
Mansarovar,Junk/Invalid
Lead Tech,Technology End User
SDE 1,Technology End User
Customer Service Representative,Sales End User
Head of Engineering- Intelligent Enterprise / Senior Manager - Digital,Marketing Decision Maker
Back End Developer,Technology End User
Consultant,Other End User
Graduate Trainee / Frontend Developer,Technology End User
Learning Experience Analyst,Other End User
Systems Engineer,Technology End User
Software Developer,Technology End User
Associate Consultant,Other End User
Associate,Other End User
Consultant - Package Implementation - P1,Technology End User
Legal Partner,Other End User
Senior Software Engineer,Technology End User
Lead Cloud Engineer And Devops Team Lead,Technology End User
Product Manager,Product End User
Data Engineer / Assistant Manager,Data End User
System Engineer,Technology End User
Senior Process Associate (Medical Writing/ Publising -CSR),Other End User
Senior software Engineer,Technology End User
Associate,Other End User
Business Analyst,Other End User
Specialist Programmer,Technology End User
Information Technology Product Manager,Product Decision Maker
Senior Software Engineer,Technology End User
Sales and marketing,Sales End User
Engineer,Technology End User
Graduate Trainee / Frontend Developer,Technology End User
Associate Manager,Other End User
Senior Software Engineer,Technology End User
Full Stack Developer,Technology End User
Data Scientist,Data End User
Senior Analytics Manager,Data Decision Maker
Senior Devops Engineer,Technology End User
Frontend Developer,Technology End User
SDE - 2,Technology End User
Professor,Industry LOB - Edu End User
Data analyst,Data End User
Senior Software Engineer,Technology End User
Software Engineer,Technology End User
Analyst,Data End User
Manager IS,Other End User
Principal Engineer,Technology End User
Software Engineer,Technology End User
Senior Software Development Engineer,Technology End User
Vice President Sales - India and APAC,Sales Decision Maker
Sr. Product manager,Product Decision Maker
Product Manager,Product Decision Maker
Product Manager,Product Decision Maker
SDE1,Other End User
Air Assistant Manager,Information End User
"Technical Program Full Stack, M&A Digital Technology,It Infra",Information End User
Senior Software Engineer,Technology End User
Software Engineer,Technology End User
Product Manager,Product Decision Maker
Mechanical Design engineer,Technology End User
Lead Engineer,Technology End User
Product Marketing Manager,Product Decision Maker
Frontend Developer,Technology End User
Associate Director - Infrastructure Engineering,Information Decision Maker
Software Developer,Technology End User
User Experience and Communications Lead,Marketing End User
Full stack developer,Technology End User
Data Analyst,Data End User
Software Engineer,Technology End User
Cto,Technology Executive
Manager IT,Information End User
Associate TPO,Other End User
Principal Software Engineer,Technology End User
AI Product Manager,Data Decision Maker
Senior Software Engineer,Technology End User
Software Developer,Technology End User
Sr Developer,Technology End User
Software Engineer,Technology End User
Network Engineer,Other End User
Software Engineer,Technology End User
Software Engineer,Technology End User
軟體設計副理,Technology End User
R&D Team Head & AI Engineer,Technology Executive
Marketing Manager,Marketing End User
Solution Architect,Technology End User
Cybersecurity Analyst,Security End User
Senior Software Engineer,Technology End User
Executive Mentor,Other Decision Maker
Principal Engineer,Technology End User
Associate Technical Consultant - AI and Data Analytics,Other End User
Product Development Manager,Product Decision Maker
Asst manager software Engineer,Technology End User
Developer,Technology End User
Software Engineer,Technology End User
Web Developer,Technology End User
Sde,Technology End User
CEO,Chief Executive
Software Engineer,Technology End User
"Senior Manager, Product Strategy",Product Decision Maker
Product Manager,Product Decision Maker
Full Stack Developer Intern / Junior Software Engineer,Technology End User
Stock analyst,Technology End User
Assistant professor,Industry LOB - Edu End User
Data Engineer,Technology End User
Software Engineer,Technology End User
System Engineer,Technology End User
Head of Cyber Security and IT Governance,Security Decision Maker
Teacher,Industry LOB - Edu End User
Back End Developer,Technology End User
Software Engineer,Technology End User
Senior Associate Consultant,Other End User
CTO,Technology Executive
Proposals Engineer,Technology End User
Software Engineer,Technology End User
Technical Recruiter,HR End User
Software Engineer,Technology End User
System Engineer,Technology End User
Assistant Manager - Marketing,Marketing End User
Senior Software Engineer,Technology End User
Senior Executive,Other Decision Maker
Full Stack Developer,Technology End User
Lead Software Engineer,Technology End User
Proprietor and Web Developer,Technology Executive
I don't have designation I'm 16,Junk/Invalid
Software Enginner Intern,Technology End User
Software Engineer,Technology End User
Engineering Manager,Technology Decision Maker
BPM DEVELOPER/Associate,Technology End User
Graduate Engineer Trainee,Technology End User
Technical Support Engineer,Technology End User
Software Engineer,Technology End User
Technical Engineer,Technology End User
Associate Software Engineer,Technology End User
IT Project Manager,Information End User
Product Manager - AFL Clubs,Product Decision Maker
Senior Associate consultant,Other End User
Cloud Operations Specialist/Cloud Consultant -IT Specialist,Technology End User
Store Executive,Industry LOB - Retail DM
Data Scientist,Data End User
"Senior Data Analyst, Market Risk Systems",Finance End User
Software Engineer,Technology End User
Systems Engineer,Technology End User
Test Automation Engineer,Technology End User
Co-Founder,Other Decision Maker
Member Support Specialist,Other End User
Techinal lead,Technology End User
RT,Junk/Invalid
Infrastructure design Engineer,Information End User
CSA,Other End User
ARCHITECT /  Technical Product Specialist,Other End User
Mechanical Engineer,Technology End User
Coordinator,Other End User
Founder & Director,Other Decision Maker
Customer care representative,Sales End User
Senior data engineer,Technology End User
Consultant,Other End User
FTC,Junk/Invalid
Software Engineer,Technology End User
SAP Consultant,Technology End User
Software Engineer,Technology End User
Developer,Technology End User
Corrosion Engineer,Technology End User
Software Engineer,Technology End User
Professor,Industry LOB - Edu End User
Reporting Product Manager,Product Decision Maker
QA Engineer,Technology End User
Full Stack Developer,Technology End User
Senior Security Officer,Security End User
Bancassurance Product Manager,Finance Decision Maker
Student researcher,Industry LOB - Edu End User
Cloud Systems Engineer,Technology End User
Software QA Developer,Technology End User
System Enhancement Specialist,Information End User
PHP Developer,Technology End User
Digital marketing,Marketing End User
Technology Lead,Technology End User
Founder & CEO,Other Decision Maker
Developer/System Engineer,Technology End User
Group Product Manager,Product Decision Maker
Frontend Developer,Technology End User
Director Of Engineering,Technology Decision Maker
Full Stack Developer and Team Leader/Technical Product Manager & Senior Frontend Developer,Product Decision Maker
.,Junk/Invalid
Ceo,Chief Executive
Manager IS,Other End User
Technical Lead,Technology End User
Principal Engineer,Technology End User
Associate Lead Consultant,Other End User
Frontend Ui Developer,Technology End User
Backend Developer,Technology End User
Blockchain,Junk/Invalid
Technical Service Engineer,Technology End User
Account executive,Sales End User
Software Engineer,Technology End User
Operations Manager,Operations End User
Marketing Director,Marketing Decision Maker
MACHINE LEARNING ENGINEER,Technology End User
Card Product Marketing Manager,Product Decision Maker
Software Engineer,Technology End User
Full-Stack Developer | React · PHP · Microsoft Graph API · Linux,Technology End User
Senior Software Engineer,Technology End User
Gen AI Consultant,Data End User
Senior Software Engineer,Technology End User
Geospatial Reasoning Specialist,Technology End User
Vikarabad,Junk/Invalid
Product Manager- Generative AI Creative PM,Product Decision Maker
Senior Software Engineer,Technology End User
Data science Manager,Data End User
AI Evaluator/Annotator,Technology End User
Software Developer,Technology End User
AI Engineer,Technology End User
Executive Officer,Chief Executive
Software Test Engineer,Technology End User
Assistant Engineer,Technology End User
Data & Business Analytics Lead,Other End User
Product Manager,Product End User
Data Engineer,Technology End User
Research Analyst,Data End User
Analyst - Big Data Engineering,Other End User
Senior SAP Security Consultant,Security End User
Senior sales manager,Sales End User
BIM Engineer,Technology End User
Principle Software Engineer,Technology End User
Marketing Manager,Marketing End User
Product Manager - Cheese,Product Decision Maker
Senior process Associate,Other End User
ServiceNow admin,Information End User
Full Stack Developer,Technology End User
Product Manager,Product Decision Maker
Devops Engineer,Technology End User
Data Analyst,Data End User
Structural engineer,Technology End User
Executive Manager Everyday Banking Operations,Operations Decision Maker
Customer Service Representative,Sales End User
Software Engineer 1,Technology End User
Backend Engineer,Technology End User
Lead Software Development Engineer,Technology End User
Software Engineer,Technology End User
Senior Software Engineer,Technology End User
Team Manager,Other End User
Engineer,Technology End User
Site Engineer,Technology End User
Deputy Manager,Other End User
Digital Marketing Specialist,Marketing End User
Sde,Technology End User
Director Of Marketing,Marketing Decision Maker
Software Engineer,Technology End User
Consultant,Other End User
Senior Associate,Other End User
Senior Software Engineer,Technology End User
AI-ML engineer L1,Technology End User
Lead Engineer,Technology End User
Frontend Web Developer,Technology End User
Senior Engineer,Technology End User
Senior Software Engineer,Technology End User
Software Engineer,Technology End User
Coding instructor,Other End User
Senior Software Engineer,Technology End User
Product Manager,Product Decision Maker
Specialist Programmer,Technology End User
BA,Other End User
AI Developer,Data End User
Senior Officer,Other End User
Intern,Industry LOB - Edu End User
Data Engineer Manager,Data End User
Senior Product Manager,Product Decision Maker
Senior Engineer,Technology End User
Accountant,Finance End User
Senior Data Scientist / Lead Data Scientist (Analytics),Data End User
Business Lead,Sales End User
Digital marketer,Marketing End User
AI Generalist - AI and Automation / AI Governance,Data End User
Software Engineer,Technology End User
Fintech Product Manager,Product Decision Maker
Research Executive,Other End User
Design Engineer,Other End User
Auditor,Finance Decision Maker
Back End Developer,Technology End User
Acting Major Projects Coordinator,Information End User
"Software Developer, Systems Architect",Other End User
Manager,Other End User
Software Engineer,Technology End User
System Engineer,Technology End User
Engineer,Technology End User
Senior Software Engineer,Technology End User
senior solution advisor,Technology End User
Process Engineer,Technology End User
Project Lead,Technology End User
Lead Consultant,Other End User
Digital Product Manager,Product Decision Maker
Owner of the company,Other Decision Maker
Agriculture,Industry LOB - Manufacturing End User
Clerical,Information End User
Engineer,Technology End User
Associate Software Developer,Technology End User
Configuration Engineer,Technology End User
Instrument Engineer,Technology End User
Back End Developer,Technology End User
Assistant Manager,Other End User
Senior Executive,Other Decision Maker
DW/BI Architect,Technology End User
Hacker,Technology End User
Mechanical Engineer,Technology End User
Technology Analyst,Technology End User
Consultant,Other End User
Head Of Production,Operations Executive
Quality Team Lead,Operations End User
Senior Executive Information Technology,Information Decision Maker
Data Science Manager,Data Decision Maker
Software development engineer in Test,Technology End User
Software Engineer,Technology End User
Data Security (IT and OT Security),Security End User
Senior Engineer,Technology End User
Software Developer,Technology End User
Software Engineer,Technology End User
Web Developer,Technology End User
Assistant Professor,Industry LOB - Edu End User
Manager,Other End User
Solutions Engineer,Technology End User
Group Product Manager,Product Decision Maker
Senior Data Specialist,Data End User
Lead Software engineer,Technology End User
Sr It & Security Analyst,Information End User
Sr Algorithm Engineer,Data End User
Data analyst,Data End User
Amts Intern Salesforce,Other End User
Proprietor,Other Decision Maker
Mid 2025 Full Stack Developer,Technology End User
Software Engineer,Technology End User
Data Scientist,Data End User
Consultant - Package Implementation,Other End User
Project Engineer,Technology End User
Product Manager,Product End User
Senior Audit Officer,Finance Executive
Management consultant,Other End User
Software Engineer,Technology End User
Machine learning Engineer(SDE-2),Other End User
Project Engineer,Technology End User
Software Engineer,Technology End User
L6 Staff Backend Engineer (Core AI Platform),Data End User
Full Stack Developer,Technology End User
Manager - Global Partner Marketing,Marketing End User
Senior Machine Learning Engineer,Technology End User
Data Scientist,Data End User
Software support engineer,Technology End User
Software Engineer,Technology End User
Asst Design Manager,Technology End User
Product Operations Manager,Product Decision Maker
Business Analyst,Other End User
Mobile App Developer Services,Technology End User
Senir Data Engineer I,Data End User
"Manager, Task Force Marketing Communications The Lalit Chandigarh & The Lalit Ashok Bangalore",Marketing End User
Lead DevOps Engineer,Technology End User
Business Analyst,Other End User
Junior Executive,Other End User
Social Media Manager,Marketing End User
Senior Product Manager,Product Decision Maker
Software Engineer,Technology End User
Senior Product Manager,Product Decision Maker
Analyst -lll infrastructure service,Information End User
Software Engineer,Technology End User
Engineer,Technology End User
Software Engineer,Technology End User
Salesforce QA,Sales End User
Generative AI Engineer,Data End User
Director,Other Decision Maker
Content writer,Marketing End User
Systems Engineer,Technology End User
Web / Multimedia Developer,Technology End User
Java Software Developer,Technology End User
Senior Software Developer,Technology End User
DATA ANALYST,Data End User
Full Stack Developer,Technology End User
Product Engineering manager,Product Decision Maker
Project Manager,Other End User
Senior Product Manager / Product Owner,Product Decision Maker
Senior Software Engineer/Principal Software Engineer,Technology End User
Technical Lead,Technology End User
Mechanical Design Engineer,Technology End User
Software Engineer,Technology End User
Software Engineer/ 소프트웨어 엔지니어,Technology End User
Product Manager,Product Decision Maker
Engineer,Technology End User
Data science lead,Data End User
Senior Full Stack Developer,Technology End User
Graduate Engineer Trainee,Technology End User
Project Engineer,Technology End User
Media trainee,Marketing End User
Engineer,Technology End User
Analyst,Data End User
Business Head,Sales Decision Maker
Software Product Manager Supervisor/Senior Product Manager,Other Decision Maker
Senior Data Scientist,Data End User
Senior Software Engineer,Technology End User
Diploma in Computer Engineering,Technology End User
Process associate,Other End User
Security Analyst,Security End User
Product Manager,Product Decision Maker
Machine Learning Engineer (AiRS),Data End User
IT-Trainee,Information End User
Director AI,Data Decision Maker
Senior Web Developer,Technology End User
Lead HR & IR kolkata/HR & Ir Pluse Factory Lead,HR End User
Product Manager,Product Decision Maker
Software Engineer / Full Stack Engineer,Technology End User
Razz ngr igr,Junk/Invalid
Product Manager,Product Decision Maker
GenAI Developer,Technology End User
Senior Product Manager,Product Decision Maker
Summer Analyst,Technology End User
Project Management Analyst,Technology End User
Senior Software Engineer,Technology End User
Data Engineer,Technology End User
Senior Software Developer,Technology End User
It Support,Information End User
Associate AI/ML Engineer,Data End User
Application Development Associate,Technology End User
Software developer,Technology End User
Software Engineer,Technology End User
Salesforce QA Lead,Operations End User
Associate Engineer,Technology End User
Sr. Engineering Manager,Technology End User
Lead – Application Engineering,Technology End User
Director Of It Business Development,Information Decision Maker
Special Education Teacher,Industry LOB - Edu End User
CX Developer,Technology End User
Full-stack Developer,Technology End User
QA,Operations End User
Business Development Manager,Sales End User
Frontend Engineer,Technology End User
Site Engineer,Technology End User
Senior Data Scientist (Analytics),Data End User
Sr. AdTech Analyst,Other End User
Project Engineer,Technology End User
Senior System Engineer Team Lead,Technology End User
Full-stack Developer,Technology End User
devsecops engineer,Security End User
Full stack cloud developer,Technology End User
Senior Software Engineer,Technology End User
Senior Software Engineer,Technology End User
Back End Developer,Technology End User
Systems Engineer,Technology End User
HR,HR End User
DEVOPS ENGINEER,Technology End User
Grphic Designer,Marketing End User
Head Of Engineering,Technology Executive
Product Manager,Product End User
Software Engineer,Technology End User
Senior Data Engineer,Technology End User
Sr. DevOps,Technology End User
Software Developer,Technology End User
Senior Data Scientist,Data End User
Senior Software Engineer,Technology End User
Software Engineer I,Technology End User
Engineer,Technology End User
Software Engineer,Technology End User
Head of Online Marketing,Marketing Executive
Deputy Manager II,Other End User
Risk Management Analyst,Legal End User
Digital Marketing & Analyst,Marketing End User
Java Software Developer,Technology End User
Systems Engineer,Technology End User
Trade Product Manager,Product Decision Maker
Senior Devops Engineer,Technology End User
Back End Developer,Technology End User
Project Engineer,Technology End User
Global Business,Other End User
Assistant Consultant,Other End User
CO-Founder,Other Decision Maker
Data Analyst,Data End User
Senior Product Manager,Product Decision Maker
Web Developer,Technology End User
Software Engineer,Technology End User
Senior Manager,Other End User
Software Engineer,Technology End User
AI/ML Research Intern,Other End User
Senior Quality Analyst,Operations End User
Customer success associate,Sales End User
Frontend Developer,Technology End User
Mis Executive,Other End User
"DevOps, SRE, Backend / SRE Team Manager",Technology Decision Maker
Self employed,Other End User
Lead software engineer,Technology End User
Game Developer,Technology End User
Associate Vice President,Other Decision Maker
Sr. Mobile Engineer,Technology End User
Junior Web Developer,Technology End User
Deputy Paid Ads Manager,Marketing End User
AI and STEM Robotics faculty,Industry LOB - Edu End User
Training manager,HR End User
System Engineer,Technology End User
Assistant Sales Manager,Sales End User
Associate Software Engineer,Technology End User
Assistant manager,Other End User
Product Delivery Manager,Product Decision Maker
Sr Devops Engineer,Technology End User
Software Engineer,Technology End User
MACHINE LEARNING ENGINEER,Technology End User
.NET Application Developer,Technology End User
Lead Education Developer,Industry LOB - Edu End User
Software Engineer,Technology End User
Associate Director,Other Decision Maker
Software Engineer/CL3,Technology End User
Back End Developer,Technology End User
Apprenticeship,Technology End User
Back End Developer,Technology End User
SDE III,Other End User
Product manager,Product End User
PRODUCT MANAGER,Product End User
Assistant Engineer,Technology End User
Lighting Designer,Marketing End User
Associate Manager & Business Analyst - Supply at OYO USA,Operations End User
Operations Manager,Operations End User
Senior engineer IT,Information End User
Software Engineer – Individual Contributor,Technology End User
Software Engineer,Technology End User
Assistant Manager,Other End User
Technical Program Manager,Technology Decision Maker
Product Lead,Product End User
Owner,Other Decision Maker
Process Associate,Other End User
Senior System Engineer,Technology End User
Product Manager,Product Decision Maker
Consultant Linux Administrator,Other End User
Analyst,Data End User
Lead Software Developer,Technology End User
Technical Manager,Technology End User
Senior Software Engineer,Technology End User
Software Developer,Technology End User
3D Art Supervisor,Technology End User
Associate Data scientist,Data End User
Web Developer,Technology End User
"Senior Manager, Product & Technology",Technology Decision Maker
Senior Data Engineer,Technology End User
Software Engineer,Technology End User
Solution engineer,Technology End User
Full Stack Developer,Technology End User
Software Developer,Technology End User
Associate Engineer,Technology End User
Engineer,Technology End User
Engineer,Technology End User
Design Engineer,Other End User
Engineering Product Manager,Product Decision Maker
"""Agile Developer, Associate Ii""",Technology End User
Assistant Product Manager,Product Decision Maker
Lead Software Developer,Technology End User
Software Engineer,Technology End User
Lead Cloud Engineer and Observability Specialist,Technology End User
Adminstrator,Information End User
Head Of Engineering,Technology Executive
Software Engineer,Technology End User
Senior Frontend Developer,Technology End User
self-employed,Other End User
Deputy manager,Other End User
Solutions Consultant Specialist,Technology End User
Senior Cloud Engineer,Technology End User
Full Stack Developer,Technology End User
Machine Learning Engineer,Technology End User
Associate Director - Area Product Manager,Product Decision Maker
DATA SCIENTIST,Data End User
Senior Engineer - Substation Engineering,Technology End User
Senior Principal Software Engineer,Technology End User
Senior Software engineer,Technology End User
Senior Product Manager - Nine.com.au,Product Decision Maker
CSR,Other End User
Web Developer Asosiate,Technology End User
iOS Developer,Technology End User
Software Developer,Technology End User
Assistant Vice President,Other Decision Maker
Manager,Other End User
Founder & CEO,Other Decision Maker
Trainee Quality engineer,Technology End User
Senior Software Engineer,Technology End User
Web Developer,Technology End User
Senior Executive Purchase,Operations Decision Maker
Software developer,Technology End User
Data Engineer Specialist,Data End User
Machine Learning Engineer,Technology End User
Senior Data Scientist Related to Search Terms in Your Query,Data End User
Frontend Developer,Technology End User
Software Engineer,Technology End User
Sr. Advisor - Tech-enabled learning,Technology Decision Maker
Junior associate,Other End User
Software Engineer,Technology End User
Digital Product Manager,Product Decision Maker
Associate Dir- It Product & Program,Information Decision Maker
Senior Information Technology Support Engineer,Information End User
Senior Quality Assurance Engineer,Technology End User
Senior Systems Engineer,Technology End User
Software Developer,Technology End User
Technology Support Specialist,Information End User
Escalation Executive,Other End User
Assistant System Engineer,Technology End User
Software Engineer,Technology End User
